"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2022","282.41","287.00","287.00","279.78","371.13K","-1.60%"
"Oct 06, 2022","287.00","294.10","297.90","279.48","470.76K","-2.41%"
"Oct 05, 2022","294.10","296.30","296.30","289.41","230.54K","-0.74%"
"Oct 04, 2022","296.30","287.00","298.19","286.30","336.49K","3.24%"
"Oct 03, 2022","287.00","284.70","288.80","283.54","290.09K","0.91%"
"Oct 02, 2022","284.41","282.91","287.80","279.69","213.31K","0.53%"
"Oct 01, 2022","282.91","284.89","285.31","277.99","207.72K","-0.69%"
"Sep 30, 2022","284.89","284.00","289.80","280.69","411.86K","0.31%"
"Sep 29, 2022","284.00","281.60","285.49","277.30","317.64K","0.85%"
"Sep 28, 2022","281.60","272.39","283.69","266.50","376.46K","3.38%"
"Sep 27, 2022","272.40","276.11","286.31","269.61","425.49K","-1.34%"
"Sep 26, 2022","276.11","274.11","276.61","270.90","280.45K","0.73%"
"Sep 25, 2022","274.11","274.59","279.60","271.31","233.52K","-0.18%"
"Sep 24, 2022","274.60","276.70","284.90","274.60","340.89K","-0.79%"
"Sep 23, 2022","276.80","275.30","277.79","269.40","376.67K","0.54%"
"Sep 22, 2022","275.30","264.49","276.20","263.51","353.19K","4.09%"
"Sep 21, 2022","264.49","266.30","276.29","260.71","557.80K","-0.64%"
"Sep 20, 2022","266.21","272.00","273.50","265.49","350.25K","-2.13%"
"Sep 19, 2022","272.00","266.20","272.90","256.71","531.46K","2.18%"
"Sep 18, 2022","266.21","279.09","280.00","264.06","345.83K","-4.62%"
"Sep 17, 2022","279.09","274.90","279.70","274.80","198.67K","1.53%"
"Sep 16, 2022","274.90","271.00","276.40","268.61","325.88K","1.44%"
"Sep 15, 2022","271.00","279.40","280.50","267.19","538.13K","-3.01%"
"Sep 14, 2022","279.40","277.40","282.51","273.42","439.58K","0.72%"
"Sep 13, 2022","277.40","294.10","298.02","275.70","598.91K","-5.58%"
"Sep 12, 2022","293.81","295.40","299.80","290.90","425.02K","-0.54%"
"Sep 11, 2022","295.40","296.60","298.09","291.00","274.90K","-0.41%"
"Sep 10, 2022","296.61","293.40","298.60","290.50","346.49K","1.09%"
"Sep 09, 2022","293.40","280.50","295.69","280.10","566.00K","4.60%"
"Sep 08, 2022","280.50","278.81","282.29","275.70","401.24K","0.61%"
"Sep 07, 2022","278.81","262.30","280.11","258.72","453.82K","6.29%"
"Sep 06, 2022","262.30","276.71","286.20","262.00","666.33K","-5.21%"
"Sep 05, 2022","276.71","278.91","281.21","273.50","271.40K","-0.79%"
"Sep 04, 2022","278.91","277.80","280.30","275.11","203.61K","0.40%"
"Sep 03, 2022","277.80","277.50","278.60","274.40","157.25K","0.11%"
"Sep 02, 2022","277.50","278.40","283.10","274.10","335.98K","-0.29%"
"Sep 01, 2022","278.31","279.20","280.30","270.82","438.34K","-0.29%"
"Aug 31, 2022","279.11","281.50","289.80","277.70","402.50K","-0.85%"
"Aug 30, 2022","281.50","285.90","292.00","276.80","454.39K","-1.54%"
"Aug 29, 2022","285.90","276.49","286.60","272.40","501.73K","3.40%"
"Aug 28, 2022","276.49","277.90","284.00","275.79","329.44K","-0.47%"
"Aug 27, 2022","277.80","279.50","284.50","274.30","432.31K","-0.51%"
"Aug 26, 2022","279.22","301.30","301.61","277.20","616.52K","-7.33%"
"Aug 25, 2022","301.30","296.40","306.70","296.00","416.12K","1.65%"
"Aug 24, 2022","296.40","299.11","300.11","294.50","357.19K","-0.91%"
"Aug 23, 2022","299.11","300.20","301.60","293.90","419.58K","-0.36%"
"Aug 22, 2022","300.20","301.71","304.40","288.89","665.96K","-0.50%"
"Aug 21, 2022","301.71","283.80","303.91","283.60","561.98K","6.31%"
"Aug 20, 2022","283.80","279.11","289.00","277.23","539.84K","1.67%"
"Aug 19, 2022","279.12","298.10","298.10","277.99","913.48K","-6.34%"
"Aug 18, 2022","298.01","306.90","310.39","295.99","434.29K","-2.90%"
"Aug 17, 2022","306.90","316.10","323.62","304.70","530.06K","-2.91%"
"Aug 16, 2022","316.11","319.50","322.30","312.39","390.59K","-1.06%"
"Aug 15, 2022","319.50","317.51","327.11","313.89","478.54K","0.63%"
"Aug 14, 2022","317.51","324.11","330.99","316.00","405.75K","-2.03%"
"Aug 13, 2022","324.10","328.00","332.80","323.00","429.43K","-1.19%"
"Aug 12, 2022","328.00","323.60","328.00","318.09","404.31K","1.36%"
"Aug 11, 2022","323.60","328.80","334.60","322.10","574.50K","-1.58%"
"Aug 10, 2022","328.80","324.40","336.60","313.80","877.79K","1.36%"
"Aug 09, 2022","324.40","324.99","328.10","312.51","530.17K","-0.18%"
