"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 06, 2023","75.930","74.240","76.450","72.780","797.96K","2.28%"
"Jan 05, 2023","74.240","75.410","76.260","73.710","562.35K","-1.55%"
"Jan 04, 2023","75.410","75.570","77.840","74.500","772.65K","-0.21%"
"Jan 03, 2023","75.570","74.740","76.330","73.720","725.82K","1.07%"
"Jan 02, 2023","74.770","70.910","76.550","70.080","1.06M","5.44%"
"Jan 01, 2023","70.910","70.080","71.430","69.050","497.86K","1.18%"
"Dec 31, 2022","70.080","67.940","71.030","67.620","563.95K","3.15%"
"Dec 30, 2022","67.940","66.660","68.440","66.090","476.53K","1.92%"
"Dec 29, 2022","66.660","66.320","67.240","65.580","498.34K","0.51%"
"Dec 28, 2022","66.320","68.680","69.450","65.730","693.14K","-3.44%"
"Dec 27, 2022","68.680","70.770","71.020","67.810","688.64K","-2.95%"
"Dec 26, 2022","70.770","69.170","70.930","68.630","725.15K","2.31%"
"Dec 25, 2022","69.170","65.760","69.600","65.390","561.70K","5.19%"
"Dec 24, 2022","65.760","65.740","66.050","65.070","218.83K","0.03%"
"Dec 23, 2022","65.740","66.200","66.660","65.000","387.54K","-0.69%"
"Dec 22, 2022","66.200","65.430","66.700","64.340","505.76K","1.18%"
"Dec 21, 2022","65.430","65.620","66.780","64.730","573.30K","-0.29%"
"Dec 20, 2022","65.620","63.400","66.010","63.110","849.77K","3.50%"
"Dec 19, 2022","63.400","64.390","64.930","61.090","866.19K","-1.54%"
"Dec 18, 2022","64.390","64.890","65.740","63.170","639.11K","-0.77%"
"Dec 17, 2022","64.890","66.280","67.590","62.830","1.34M","-2.10%"
"Dec 16, 2022","66.280","72.370","73.530","65.070","1.16M","-8.42%"
"Dec 15, 2022","72.370","75.290","75.440","71.900","600.38K","-3.88%"
"Dec 14, 2022","75.290","77.390","79.080","74.430","911.55K","-2.71%"
"Dec 13, 2022","77.390","76.220","79.760","74.360","1.02M","1.56%"
"Dec 12, 2022","76.200","76.550","76.690","73.600","656.12K","-0.46%"
"Dec 11, 2022","76.550","76.360","78.360","76.290","348.16K","0.24%"
"Dec 10, 2022","76.370","76.310","77.400","75.760","301.24K","0.08%"
"Dec 09, 2022","76.310","78.280","78.770","75.940","622.25K","-2.52%"
"Dec 08, 2022","78.280","76.850","78.720","74.570","911.78K","1.86%"
"Dec 07, 2022","76.850","79.900","80.380","75.990","864.81K","-3.82%"
"Dec 06, 2022","79.900","80.180","81.680","77.800","802.74K","-0.35%"
"Dec 05, 2022","80.180","77.130","83.980","76.860","1.70M","3.95%"
"Dec 04, 2022","77.130","76.470","77.450","75.800","391.30K","0.86%"
"Dec 03, 2022","76.470","77.980","78.030","75.440","432.65K","-1.94%"
"Dec 02, 2022","77.980","77.560","78.060","75.470","581.98K","0.54%"
"Dec 01, 2022","77.560","79.150","80.520","76.330","968.38K","-2.01%"
"Nov 30, 2022","79.150","75.770","80.520","75.560","1.11M","4.46%"
"Nov 29, 2022","75.770","73.970","77.620","73.530","1.21M","2.53%"
"Nov 28, 2022","73.900","74.920","75.310","70.610","1.47M","-1.36%"
"Nov 27, 2022","74.920","76.460","79.230","74.430","994.97K","-2.01%"
"Nov 26, 2022","76.460","73.950","79.500","73.910","1.27M","3.39%"
"Nov 25, 2022","73.950","78.700","79.150","73.370","1.55M","-6.04%"
"Nov 24, 2022","78.700","78.990","79.450","75.480","1.70M","-0.37%"
"Nov 23, 2022","78.990","70.610","81.910","69.660","3.06M","11.87%"
"Nov 22, 2022","70.610","61.340","71.110","61.220","2.21M","15.11%"
"Nov 21, 2022","61.340","62.120","63.410","59.580","1.22M","-1.22%"
"Nov 20, 2022","62.100","63.960","64.630","60.490","739.56K","-2.91%"
"Nov 19, 2022","63.960","63.610","64.400","62.600","585.82K","2.62%"
"Nov 18, 2022","62.330","62.190","63.820","61.630","850.90K","0.14%"
"Nov 17, 2022","62.240","56.920","63.230","56.920","1.09M","9.35%"
"Nov 16, 2022","56.920","58.050","60.160","56.820","697.99K","-1.95%"
"Nov 15, 2022","58.050","56.620","59.520","56.500","786.14K","2.53%"
"Nov 14, 2022","56.620","57.360","59.170","53.610","1.46M","-1.29%"
"Nov 13, 2022","57.360","59.850","60.290","56.470","585.96K","-4.16%"
"Nov 12, 2022","59.850","61.450","61.690","58.290","768.92K","-2.60%"
"Nov 11, 2022","61.450","60.480","64.210","58.580","1.92M","1.60%"
"Nov 10, 2022","60.480","50.620","61.220","50.080","2.07M","19.48%"
"Nov 09, 2022","50.620","57.820","59.730","48.000","2.10M","-12.45%"
"Nov 08, 2022","57.820","67.390","68.590","54.330","2.19M","-14.20%"
"Nov 07, 2022","67.390","68.260","72.940","66.380","1.39M","-1.27%"
"Nov 06, 2022","68.260","69.290","70.680","67.630","804.87K","-1.63%"
"Nov 05, 2022","69.390","67.570","71.720","67.110","1.11M","2.69%"
"Nov 04, 2022","67.570","61.870","70.210","61.690","1.44M","9.21%"
"Nov 03, 2022","61.870","60.860","64.540","60.170","1.38M","1.66%"
"Nov 02, 2022","60.860","55.100","62.370","54.710","2.10M","10.41%"
